ACTIVITY TYPE,ACTIVITY NAME,DEBIT,DEBIT CURRENCY,CREDIT,CREDIT CURRENCY,CARD NUMBER,LOCALITY,RECIPIENT,SENDER,FEES/COMMISSION,BUY/SELL,QUANTITY,ASSET,PRICE PER UNIT,DATE
INVEST_ORDER_EXECUTED,2.0000x Switzerland SMI (iShares SMI),-240.80,CHF,,,,,,,,0.80,BUY,2.0000,CSSMI,120.00,05.10.2023
PAYMENT_TRANSACTION_IN,Bank transfer,,,,2000.00,CHF,,,,Demo User,0,,,,,15.10.2023
INVEST_SELL_EXECUTED,13.0000x ABB (ABB),,,,434.00,CHF,,,,,1.50,SELL,13.0000,ABBN,33.50,10.11.2023
INVEST_RECURRING_ORDER_EXECUTED,0.7500x World (Vanguard FTSE All-World Acc),-84.50,CHF,,,,,,,,0.25,BUY,0.7500,VWRA,112.33,01.12.2023
INVEST_ORDER_EXECUTED,1.0000x Nasdaq 100 (Invesco EQQQ Nasdaq 100 Acc),-376.85,CHF,,,,,,,,1.85,BUY,1.0000,EQQQ,375.00,15.12.2023
INVEST_ORDER_EXECUTED,4.0000x Gold (Swisscanto Gold),-73.60,CHF,,,,,,,,0.60,BUY,4.0000,IGLD,18.25,20.12.2023
PAYMENT_TRANSACTION_IN,Bank transfer,,,,1500.00,CHF,,,,Demo User,0,,,,,05.01.2024
INVEST_SELL_EXECUTED,2.7000x Tesla (Tesla Inc),,,,537.73,CHF,,,,,2.27,SELL,2.7000,TSLA,200.00,15.01.2024
INVEST_ORDER_EXECUTED,2.5000x Switzerland SMI (iShares SMI),-321.25,CHF,,,,,,,,1.25,BUY,2.5000,CSSMI,128.00,20.01.2024
INVEST_RECURRING_ORDER_EXECUTED,0.5000x Nasdaq 100 (Invesco EQQQ Nasdaq 100 Acc),-198.25,CHF,,,,,,,,0.75,BUY,0.5000,EQQQ,395.00,01.02.2024
INVEST_SELL_EXECUTED,15.5000x Silver (Swisscanto Silver),,,,84.53,CHF,,,,,0.72,SELL,15.5000,CSIL,5.50,15.02.2024
INVEST_ORDER_EXECUTED,2.0000x World (Vanguard FTSE All-World Acc),-225.50,CHF,,,,,,,,0.50,BUY,2.0000,VWRA,112.50,20.02.2024
INVEST_ORDER_EXECUTED,0.8000x Nasdaq 100 (Invesco EQQQ Nasdaq 100 Acc),-316.80,CHF,,,,,,,,1.30,BUY,0.8000,EQQQ,394.38,15.03.2024
INVEST_ORDER_EXECUTED,3.0000x Spain (Xtrackers SICAV Spain),-157.50,CHF,,,,,,,,0.75,BUY,3.0000,XESP,52.25,20.03.2024
INVEST_ORDER_EXECUTED,5.0000x Gold (Swisscanto Gold),-96.50,CHF,,,,,,,,0.50,BUY,5.0000,IGLD,19.20,25.03.2024
INVEST_RECURRING_ORDER_EXECUTED,0.5000x World (Vanguard FTSE All-World Acc),-57.63,CHF,,,,,,,,0.13,BUY,0.5000,VWRA,115.00,01.04.2024
INVEST_RECURRING_ORDER_EXECUTED,0.5000x Nasdaq 100 (Invesco EQQQ Nasdaq 100 Acc),-205.75,CHF,,,,,,,,0.75,BUY,0.5000,EQQQ,410.00,01.05.2024
INVEST_ORDER_EXECUTED,3.0000x Switzerland SMI (iShares SMI),-393.74,CHF,,,,,,,,1.25,BUY,3.0000,CSSMI,130.83,15.05.2024
INVEST_ORDER_EXECUTED,4.0000x Spain (Xtrackers SICAV Spain),-216.20,CHF,,,,,,,,0.80,BUY,4.0000,XESP,53.85,25.05.2024
PAYMENT_TRANSACTION_IN,Bank transfer,,,,2000.00,CHF,,,,Demo User,0,,,,,01.06.2024
INVEST_RECURRING_ORDER_EXECUTED,0.5000x Nasdaq 100 (Invesco EQQQ Nasdaq 100 Acc),-206.25,CHF,,,,,,,,0.75,BUY,0.5000,EQQQ,411.00,01.06.2024
INVEST_ORDER_EXECUTED,2.0000x World (Vanguard FTSE All-World Acc),-232.00,CHF,,,,,,,,0.50,BUY,2.0000,VWRA,115.75,15.06.2024
INVEST_ORDER_EXECUTED,3.0000x Gold (Swisscanto Gold),-66.40,CHF,,,,,,,,0.40,BUY,3.0000,IGLD,22.00,20.06.2024
